Student_ID,Attendance_Percentage,Assignment_Scores,Quiz_Scores,Final_Exam_Score,Study_Hours,Final_Performance
S077,58,93,100,63,12,96
S078,82,96,87,70,13,75
S079,97,95,82,100,8,58
S080,56,57,55,60,8,71
S081,86,67,77,82,12,76
S082,69,69,58,80,12,65
S083,93,67,60,72,9,97
S084,63,63,64,83,8,71
S085,74,89,80,74,15,70
S086,90,63,62,64,6,89
S087,75,82,75,94,6,56
S088,71,79,94,99,6,76
S089,96,81,87,51,13,75
S090,0,0,0,0,0,0
S092,60,50,55,62,5,55
S093,50,67,87,88,13,51
S094,79,52,56,61,15,91
S095,93,64,80,88,11,99
S096,56,80,99,58,6,91
S097,82,83,92,92,15,88
S098,97,80,83,61,10,100
S099,75,57,99,85,14,100
S100,95,85,91,88,10,86
S101,71,77,95,82,15,58
S102,68,54,94,100,14,55
S103,82,61,92,84,7,64
S103,87,95,55,66,15,68
S104,92,77,59,90,18,74
S105,88,63,66,68,7,64
S106,97,65,98,72,13,74
S107,53,81,62,81,15,65
S108,67,95,96,68,6,72
S109,77,71,97,84,14,75
S110,92,82,45,70,14,66
S111,81,61,42,57,8,54
S112,64,68,56,68,13,59
S113,62,61,76,75,10,63
S114,52,41,94,95,18,67
S115,72,69,47,67,8,58
S116,59,98,65,95,8,73
S117,98,42,50,53,11,55
S118,90,77,86,73,19,74
S119,76,40,83,62,10,59
S120,60,79,59,61,19,59
S121,73,46,91,84,5,67
S122,53,66,62,94,16,66
S123,74,73,94,52,16,65
S124,65,53,90,87,7,68
S125,89,63,74,58,11,63
S126,77,95,40,79,11,67
S127,99,97,62,55,14,69
S128,80,68,83,98,12,76
S129,70,92,96,91,10,79
S130,69,49,75,64,15,59
S131,54,81,81,94,14,72
S132,67,83,82,67,16,68
S133,96,43,88,58,14,64
S134,85,47,57,85,12,64
S135,81,40,69,71,16,60
S136,51,96,60,80,19,67
S137,51,53,65,57,12,52
S138,90,92,63,90,16,77
S139,93,56,42,50,10,54
S140,76,54,43,63,14,54
S141,99,67,49,57,8,60
S142,76,77,65,64,18,64
S143,86,40,93,57,9,61
S144,74,85,78,80,10,72
S145,98,87,58,97,19,79
S146,90,70,80,56,19,66
S147,59,85,79,89,17,73
S148,57,80,56,96,7,68
S149,62,91,65,84,12,70
S150,71,89,53,69,18,65
S151,65,94,98,77,17,76
S152,51,96,86,78,9,70
S153,51,77,47,53,6,51
S154,79,54,87,85,19,71
S155,76,79,46,67,8,61
S156,86,62,71,63,15,64
S157,71,57,60,99,5,67
S158,58,94,82,61,5,65
S159,76,65,67,81,19,67
S160,61,83,58,73,14,63
S161,97,74,50,96,16,74
S162,61,77,82,80,8,68
S163,96,41,86,66,9,65
S164,97,95,88,83,19,82
S165,87,60,68,89,18,71
S166,97,89,61,67,5,70
S167,99,88,90,80,13,80
S168,67,63,45,50,9,50
S169,76,74,53,59,6,58
S170,93,64,63,74,6,66
S171,77,76,92,72,12,71
S172,58,52,85,97,8,68
S173,71,52,68,90,8,66
S174,82,81,56,77,12,68
S175,58,46,72,87,8,62
S176,69,45,60,75,19,59
S177,80,94,58,62,12,66
S178,98,46,68,71,15,65
S179,91,65,68,88,6,71
S180,88,63,68,73,19,67
S181,83,60,95,71,8,69
S182,81,96,40,92,14,72
S183,71,46,51,76,17,58
S184,77,67,53,53,16,56
S185,70,82,78,84,11,72
S186,66,88,72,81,19,71
S187,55,52,86,85,12,65
S188,81,40,87,79,6,65
S189,96,52,81,53,12,62
S190,88,92,71,96,19,80
S191,50,64,55,51,15,50
S192,68,82,71,54,12,61
S193,69,98,58,98,17,76
S194,84,94,78,53,12,68
S195,51,97,97,66,7,69
S196,83,82,53,93,12,72
S197,83,82,56,73,17,67
S198,61,84,79,55,8,62
S199,91,55,70,74,6,66
S200,77,73,88,75,8,70
S201,55,95,43,61,15,58
S202,89,68,51,64,16,62
